[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213148 18-07-31 03:14:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213012 18-07-31 03:14:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:15:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213524 18-07-31 03:15:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213555 18-07-31 03:15:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:16:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:16:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213678 18-07-31 03:16:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213678 18-07-31 03:16:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:16:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:16:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:17:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:17:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:17:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:17:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:17:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:17:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:18:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213899 18-07-31 03:18:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213877 18-07-31 03:18:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214081 18-07-31 03:18:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213877 18-07-31 03:18:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:555):1769.79 KB/s, recent_speed(count:10):1390.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213877 18-07-31 03:18:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:556):1767.67 KB/s, recent_speed(count:10):1380.98 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214149 18-07-31 03:19:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:556):1767.67 KB/s, recent_speed(count:10):1380.98 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:19:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:556):1767.67 KB/s, recent_speed(count:10):1380.98 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214149 18-07-31 03:19:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:556):1767.67 KB/s, recent_speed(count:10):1380.98 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:19:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214293 18-07-31 03:19:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214367 18-07-31 03:19:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214368 18-07-31 03:20:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214293 18-07-31 03:20:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214513 18-07-31 03:20:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214445 18-07-31 03:20:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214293 18-07-31 03:20:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214594 18-07-31 03:20:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214445 18-07-31 03:21:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214445 18-07-31 03:21:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:21:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:557):1769.75 KB/s, recent_speed(count:10):1485.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214727 18-07-31 03:21:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:21:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:21:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:22:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:22:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:22:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214727 18-07-31 03:22:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214727 18-07-31 03:22:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214619 18-07-31 03:22:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214727 18-07-31 03:23:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214965 18-07-31 03:23:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214965 18-07-31 03:23:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:558):1767.92 KB/s, recent_speed(count:10):1404.27 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214445 18-07-31 03:23:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:559):1765.75 KB/s, recent_speed(count:10):1497.79 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214965 18-07-31 03:23:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:559):1765.75 KB/s, recent_speed(count:10):1497.79 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215100 18-07-31 03:23:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214965 18-07-31 03:24:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:214965 18-07-31 03:24:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215071 18-07-31 03:24:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215265 18-07-31 03:24:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
